Instance,n,k,Valeur,Candidats_generes,Temps_s
100_n_10_k_1_ID.txt,100,10,4410,4395,0.0365
100_n_5_k_1_ID.txt,100,5,4598,458,0.0034
100_n_15_k_1_ID.txt,100,15,4199,41548,0.4972
100_n_20_k_1_ID.txt,100,20,4070,327208,2.5099
1000_n_5_k_1_ID.txt,1000,5,496397,3463,0.4250
1000_n_10_k_1_ID.txt,1000,10,495011,24371,1.8253
1500_n_10_k_1_ID.txt,1500,10,1117331,38005,5.9748
1500_n_5_k_1_ID.txt,1500,5,1119727,5202,2.5697
1000_n_15_k_1_ID.txt,1000,15,493537,265364,28.1599
2000_n_10_k_1_ID.txt,2000,10,1989876,46512,21.7393
100_n_25_k_1_ID.txt,100,25,3790,7663944,48.1555
200_n_10_k_1_ID.txt,200,10,18925,9696,0.0936
200_n_15_k_1_ID.txt,200,15,18473,101164,1.0698
200_n_20_k_1_ID.txt,200,20,18018,521001,6.1164
1500_n_15_k_1_ID.txt,1500,15,1115012,286350,54.6321
2000_n_5_k_1_ID.txt,2000,5,1992885,7047,6.4675
1000_n_20_k_1_ID.txt,1000,20,492034,1138178,88.7655
200_n_25_k_1_ID.txt,200,25,17826,2787941,33.9839
200_n_5_k_1_ID.txt,200,5,19262,1160,0.0147
500_n_10_k_1_ID.txt,500,10,122503,15375,0.5642
2000_n_15_k_1_ID.txt,2000,15,1986933,392355,81.5974
500_n_15_k_1_ID.txt,500,15,121556,145550,4.4587
500_n_20_k_1_ID.txt,500,20,120486,1174665,21.7644
100_n_30_k_1_ID.txt,100,30,3763,19080464,180.2040
1500_n_20_k_1_ID.txt,1500,20,1113128,1998691,215.6070
200_n_30_k_1_ID.txt,200,30,17542,14424272,205.6110
500_n_5_k_1_ID.txt,500,5,123230,2213,0.1342
50_n_10_k_1_ID.txt,50,10,896,3209,0.0096
50_n_15_k_1_ID.txt,50,15,736,24338,0.0815
50_n_20_k_1_ID.txt,50,20,682,162236,0.6927
50_n_25_k_1_ID.txt,50,25,535,3350456,20.5448
500_n_25_k_1_ID.txt,500,25,120028,10080728,208.5700
1000_n_25_k_1_ID.txt,1000,25,490465,7500065,363.2800
2000_n_20_k_1_ID.txt,2000,20,1984423,2781813,477.9320
50_n_5_k_1_ID.txt,50,5,1062,299,0.0005
1000_n_10_k_2_ID.txt,1000,10,495004,26225,1.9057
1000_n_15_k_2_ID.txt,1000,15,493585,169891,9.2034
1000_n_30_k_1_ID.txt,1000,30,NA,11989186,600.0000
1500_n_30_k_1_ID.txt,1500,30,NA,8729655,600.0000
1500_n_25_k_1_ID.txt,1500,25,NA,4317365,600.0000
100_n_10_k_2_ID.txt,100,10,4355,6933,0.0210
100_n_15_k_2_ID.txt,100,15,4155,27230,0.0867
1000_n_5_k_2_ID.txt,1000,5,496455,3775,0.8408
100_n_20_k_2_ID.txt,100,20,3911,369016,1.6495
100_n_25_k_2_ID.txt,100,25,3735,1826037,14.2506
2000_n_25_k_1_ID.txt,2000,25,NA,4252542,600.0000
100_n_5_k_2_ID.txt,100,5,4630,385,0.0016
2000_n_30_k_1_ID.txt,2000,30,NA,4758678,600.0000
1500_n_10_k_2_ID.txt,1500,10,1117530,32279,8.3657
1000_n_20_k_2_ID.txt,1000,20,492405,2261001,144.0610
50_n_30_k_1_ID.txt,50,30,333,52625976,365.9140
200_n_35_k_1_ID.txt,200,35,NA,42162426,600.0000
1500_n_15_k_2_ID.txt,1500,15,1115541,219527,28.5255
200_n_40_k_1_ID.txt,200,40,NA,45261324,600.0000
1500_n_5_k_2_ID.txt,1500,5,1119739,5147,2.5994
500_n_30_k_1_ID.txt,500,30,NA,28648164,600.0000
100_n_30_k_2_ID.txt,100,30,3656,13081532,122.4700
2000_n_10_k_2_ID.txt,2000,10,1989817,55871,25.8757
2000_n_5_k_2_ID.txt,2000,5,1992976,6875,5.9452
200_n_10_k_2_ID.txt,200,10,18973,9192,0.0953
200_n_15_k_2_ID.txt,200,15,18423,60884,0.6110
200_n_20_k_2_ID.txt,200,20,18035,548809,6.4360
500_n_35_k_1_ID.txt,500,35,NA,19082182,600.0000
500_n_40_k_1_ID.txt,500,40,NA,21548270,600.0000
200_n_25_k_2_ID.txt,200,25,17970,4360115,53.3549
2000_n_15_k_2_ID.txt,2000,15,1986981,394972,135.0340
200_n_5_k_2_ID.txt,200,5,19203,1102,0.0074
500_n_10_k_2_ID.txt,500,10,122317,18009,0.6234
500_n_15_k_2_ID.txt,500,15,121623,157686,5.0857
500_n_20_k_2_ID.txt,500,20,120719,1341083,39.3922
200_n_30_k_2_ID.txt,200,30,17667,12885186,117.7700
50_n_35_k_1_ID.txt,50,35,NA,87673416,600.0000
1500_n_20_k_2_ID.txt,1500,20,1113237,1800347,308.8290
