Instance,n,k,Valeur,Temps,Température
100_n_30_k_1_ID.txt,100,30,3780,2.62218,38.9915
100_n_35_k_1_ID.txt,100,35,3355,2.69882,37.9084
100_n_40_k_1_ID.txt,100,40,3315,2.80251,34.4042
100_n_25_k_1_ID.txt,100,25,3850,2.89035,50.364
100_n_20_k_1_ID.txt,100,20,4073,3.25094,37.0419
100_n_10_k_1_ID.txt,100,10,4410,3.45395,29.2436
100_n_15_k_1_ID.txt,100,15,4199,3.50018,41.1576
100_n_5_k_1_ID.txt,100,5,4598,4.40793,38.9915
1000_n_30_k_1_ID.txt,1000,30,489367,72.9023,93.934
1000_n_25_k_1_ID.txt,1000,25,490512,86.8954,76.1262
1000_n_20_k_1_ID.txt,1000,20,492034,102.284,64.9858
200_n_10_k_1_ID.txt,200,10,18925,8.01785,53.6132
200_n_15_k_1_ID.txt,200,15,18473,6.47545,31.9021
200_n_20_k_1_ID.txt,200,20,18019,6.44564,62.9862
1000_n_15_k_1_ID.txt,1000,15,493537,124.735,100.728
200_n_25_k_1_ID.txt,200,25,17826,5.30156,54.1548
200_n_30_k_1_ID.txt,200,30,17549,4.94737,53.2883
200_n_35_k_1_ID.txt,200,35,17168,4.36052,38.9915
200_n_40_k_1_ID.txt,200,40,17189,4.06791,42.0697
200_n_5_k_1_ID.txt,200,5,19262,11.4724,77.9829
1000_n_10_k_1_ID.txt,1000,10,495011,155.528,94.2293
500_n_10_k_1_ID.txt,500,10,122503,36.5974,110.476
500_n_15_k_1_ID.txt,500,15,121566,28.8283,76.6832
500_n_20_k_1_ID.txt,500,20,120537,23.842,40.1383
1500_n_30_k_1_ID.txt,1500,30,1109490,178.248,77.9829
500_n_30_k_1_ID.txt,500,30,118934,16.3864,51.6637
500_n_25_k_1_ID.txt,500,25,120028,19.7837,61.9276
50_n_10_k_1_ID.txt,50,10,901,2.71245,68.235
500_n_35_k_1_ID.txt,500,35,118949,15.3937,55.4089
50_n_15_k_1_ID.txt,50,15,736,2.09887,31.1932
50_n_20_k_1_ID.txt,50,20,705,2.1643,41.7766
50_n_25_k_1_ID.txt,50,25,535,1.76837,23.0404
500_n_40_k_1_ID.txt,500,40,117277,13.3144,58.4872
50_n_35_k_1_ID.txt,50,35,227,1.68851,29.2436
50_n_30_k_1_ID.txt,50,30,333,1.80163,33.6744
50_n_40_k_1_ID.txt,50,40,40,1.50231,23.9947
1000_n_5_k_1_ID.txt,1000,5,496397,199.795,415.909
1500_n_25_k_1_ID.txt,1500,25,1111697,194.037,91.3862
50_n_5_k_1_ID.txt,50,5,1062,3.18564,77.9829
500_n_5_k_1_ID.txt,500,5,123230,47.4213,97.4786
1500_n_20_k_1_ID.txt,1500,20,1113169,235.916,100.478
100_n_10_k_2_ID.txt,100,10,4355,3.76564,42.8906
100_n_15_k_2_ID.txt,100,15,4155,3.03255,42.2407
100_n_20_k_2_ID.txt,100,20,3942,3.12375,51.9886
100_n_25_k_2_ID.txt,100,25,3743,2.8194,34.1175
100_n_30_k_2_ID.txt,100,30,3656,2.73367,30.6361
100_n_35_k_2_ID.txt,100,35,3239,2.52439,38.9915
100_n_40_k_2_ID.txt,100,40,2904,2.58065,47.8531
100_n_5_k_2_ID.txt,100,5,4630,4.439,58.4872
1500_n_15_k_1_ID.txt,1500,15,1115041,272.854,112.642
1000_n_30_k_2_ID.txt,1000,30,489177,94.0722,92.6047
1000_n_25_k_2_ID.txt,1000,25,490524,95.7385,80.2765
1000_n_20_k_2_ID.txt,1000,20,492477,127.599,84.4815
2000_n_25_k_1_ID.txt,2000,25,1982330,318.278,80.6414
1000_n_15_k_2_ID.txt,1000,15,493586,156.316,95.3124
2000_n_30_k_1_ID.txt,2000,30,1978919,275.13,110.736
1500_n_10_k_1_ID.txt,1500,10,1117331,358.628,148.655
2000_n_20_k_1_ID.txt,2000,20,1984430,367.089,122.173
1000_n_10_k_2_ID.txt,1000,10,495004,193.536,128.115
2000_n_15_k_1_ID.txt,2000,15,1987111,436.864,79.6075
1500_n_5_k_1_ID.txt,1500,5,1119727,474.924,194.957
200_n_10_k_2_ID.txt,200,10,18973,10.3199,53.6132
200_n_15_k_2_ID.txt,200,15,18426,7.49894,47.6562
200_n_20_k_2_ID.txt,200,20,18043,6.20938,42.8906
200_n_25_k_2_ID.txt,200,25,17971,5.93831,62.3863
200_n_30_k_2_ID.txt,200,30,17669,5.17835,38.9915
1500_n_25_k_2_ID.txt,1500,25,1111226,215.755,90.296
200_n_35_k_2_ID.txt,200,35,17337,4.53242,70.1846
200_n_40_k_2_ID.txt,200,40,16769,4.27049,47.3468
1000_n_5_k_2_ID.txt,1000,5,496455,284.661,116.974
200_n_5_k_2_ID.txt,200,5,19203,15.0185,77.9829
1500_n_30_k_2_ID.txt,1500,30,1109676,216.38,161.381
500_n_20_k_2_ID.txt,500,20,120725,23.6705,87.7308
500_n_10_k_2_ID.txt,500,10,122334,38.8792,110.476
500_n_15_k_2_ID.txt,500,15,121675,40.2684,129.972
1500_n_20_k_2_ID.txt,1500,20,1113245,261.934,155.966
500_n_25_k_2_ID.txt,500,25,119680,17.9423,43.5787
50_n_10_k_2_ID.txt,50,10,933,2.33256,25.9943
50_n_15_k_2_ID.txt,50,15,767,2.1698,27.294
50_n_20_k_2_ID.txt,50,20,692,2.11094,31.6806
500_n_35_k_2_ID.txt,500,35,118676,13.9149,62.5915
50_n_25_k_2_ID.txt,50,25,612,2.07623,38.9915
500_n_30_k_2_ID.txt,500,30,119135,15.8758,71.4843
50_n_30_k_2_ID.txt,50,30,373,1.79081,35.4468
50_n_35_k_2_ID.txt,50,35,187,1.73111,27.851
50_n_40_k_2_ID.txt,50,40,95,1.75505,27.294
50_n_5_k_2_ID.txt,50,5,1018,2.58537,38.9915
500_n_40_k_2_ID.txt,500,40,117853,16.2311,50.0108
1500_n_15_k_2_ID.txt,1500,15,1115541,303.138,124.064
2000_n_10_k_1_ID.txt,2000,10,1989876,582.397,236.734
500_n_5_k_2_ID.txt,500,5,123211,47.1677,58.4872
100_n_10_k_3_ID.txt,100,10,4395,3.62332,35.7422
100_n_15_k_3_ID.txt,100,15,4185,3.56821,33.4212
100_n_20_k_3_ID.txt,100,20,4116,3.46379,51.9886
100_n_25_k_3_ID.txt,100,25,3765,2.68124,45.9542
100_n_30_k_3_ID.txt,100,30,3649,2.70679,43.8654
100_n_35_k_3_ID.txt,100,35,3223,2.51004,41.7766
100_n_40_k_3_ID.txt,100,40,3362,2.4765,38.9915
100_n_5_k_3_ID.txt,100,5,4552,4.51684,53.6132
1000_n_30_k_3_ID.txt,1000,30,489692,88.4046,86.756
1500_n_10_k_2_ID.txt,1500,10,1117530,404.12,149.467
1000_n_25_k_3_ID.txt,1000,25,490524,98.6701,111.404
2000_n_30_k_2_ID.txt,2000,30,1979464,287.652,141.112
1000_n_20_k_3_ID.txt,1000,20,492342,111.636,58.4872
2000_n_25_k_2_ID.txt,2000,25,1981990,302.579,88.7056
