instance,n,k,valeur,temps,gap
100_n_5_k_1_ID.txt,100,5,4598,1.04547,0.0
100_n_10_k_1_ID.txt,100,10,4410,5.87149,0.0
200_n_5_k_1_ID.txt,200,5,19262,8.46881,0.0
200_n_10_k_1_ID.txt,200,10,18925,42.259,5.28402e-05
100_n_15_k_1_ID.txt,100,15,4199,168.037,0.0
500_n_10_k_1_ID.txt,500,10,122503,214.075,0.0
100_n_20_k_1_ID.txt,100,20,4070,600.02,0.0289926
100_n_30_k_1_ID.txt,100,30,3801,600.058,0.116548
100_n_40_k_1_ID.txt,100,40,3337,600.111,0.177405
100_n_35_k_1_ID.txt,100,35,3337,600.039,0.0785136
100_n_25_k_1_ID.txt,100,25,3790,600.048,0.0667546
50_n_10_k_1_ID.txt,50,10,896,1.75291,0.0
200_n_35_k_1_ID.txt,200,35,17221,600.505,0.0746763
200_n_20_k_1_ID.txt,200,20,18019,600.609,0.0202564
200_n_40_k_1_ID.txt,200,40,17488,601.143,0.0873742
200_n_25_k_1_ID.txt,200,25,17859,600.462,0.028557
50_n_5_k_1_ID.txt,50,5,1062,0.194083,0.0
200_n_30_k_1_ID.txt,200,30,17567,600.395,0.0342119
200_n_15_k_1_ID.txt,200,15,18487,600.445,0.00708606
50_n_40_k_1_ID.txt,50,40,40,47.3988,0.0
100_n_15_k_2_ID.txt,100,15,4155,59.1092,0.0
50_n_35_k_1_ID.txt,50,35,189,74.6096,0.0
50_n_15_k_1_ID.txt,50,15,736,98.8916,0.0
50_n_20_k_1_ID.txt,50,20,682,114.969,0.0
100_n_5_k_2_ID.txt,100,5,4630,1.97468,0.0
500_n_20_k_1_ID.txt,500,20,120505,609.266,0.0141488
200_n_10_k_2_ID.txt,200,10,18973,18.0183,5.27065e-05
100_n_10_k_2_ID.txt,100,10,4355,148.519,0.0
500_n_15_k_1_ID.txt,500,15,121565,615.003,0.00654758
500_n_25_k_1_ID.txt,500,25,120119,614.034,0.0165086
500_n_5_k_1_ID.txt,500,5,123230,168.431,0.0
50_n_30_k_1_ID.txt,50,30,333,307.251,0.0
500_n_30_k_1_ID.txt,500,30,119504,611.903,0.108975
200_n_5_k_2_ID.txt,200,5,19203,10.3198,0.0
200_n_15_k_2_ID.txt,200,15,18423,244.963,5.428e-05
500_n_35_k_1_ID.txt,500,35,119365,614.602,0.0939388
50_n_25_k_1_ID.txt,50,25,536,600.009,0.0951493
100_n_20_k_2_ID.txt,100,20,3911,600.029,0.0332396
100_n_25_k_2_ID.txt,100,25,3735,600.058,0.0318608
100_n_30_k_2_ID.txt,100,30,3659,600.084,0.0511069
100_n_35_k_2_ID.txt,100,35,3246,600.062,0.162354
50_n_10_k_2_ID.txt,50,10,933,3.04944,0.0
100_n_40_k_2_ID.txt,100,40,3032,600.049,0.212731
500_n_40_k_1_ID.txt,500,40,118356,609.071,0.148839
200_n_20_k_2_ID.txt,200,20,18050,600.22,0.0214404
200_n_25_k_2_ID.txt,200,25,17982,600.418,0.0224669
200_n_30_k_2_ID.txt,200,30,17685,600.577,0.0250495
50_n_15_k_2_ID.txt,50,15,767,95.0708,0.0
50_n_5_k_2_ID.txt,50,5,1018,0.456802,0.0
100_n_10_k_3_ID.txt,100,10,4392,5.39537,0.0
200_n_35_k_2_ID.txt,200,35,17347,600.57,0.0383352
500_n_10_k_2_ID.txt,500,10,122317,411.446,9.81057e-05
200_n_40_k_2_ID.txt,200,40,17012,600.411,0.0988126
50_n_35_k_2_ID.txt,50,35,178,162.224,0.0
100_n_5_k_3_ID.txt,100,5,4552,1.96309,0.0
50_n_40_k_2_ID.txt,50,40,81,156.865,0.0
500_n_5_k_2_ID.txt,500,5,123211,162.711,0.0
200_n_10_k_3_ID.txt,200,10,18825,27.8276,5.31208e-05
500_n_15_k_2_ID.txt,500,15,121629,602.27,0.00422597
50_n_20_k_2_ID.txt,50,20,691,407.363,0.0
50_n_30_k_2_ID.txt,50,30,364,367.903,0.0
500_n_20_k_2_ID.txt,500,20,120803,607.785,0.018079
200_n_5_k_3_ID.txt,200,5,19249,13.1892,0.0
500_n_30_k_2_ID.txt,500,30,119590,609.875,0.0846057
50_n_25_k_2_ID.txt,50,25,610,600.005,0.095082
100_n_15_k_3_ID.txt,100,15,4185,566.137,0.0
100_n_20_k_3_ID.txt,100,20,4111,600.021,0.013622
100_n_25_k_3_ID.txt,100,25,3723,600.037,0.0701048
500_n_40_k_2_ID.txt,500,40,118855,610.096,0.129915
100_n_30_k_3_ID.txt,100,30,3705,600.121,0.145209
100_n_35_k_3_ID.txt,100,35,3323,600.036,0.145351
50_n_10_k_3_ID.txt,50,10,912,0.817174,0.0
50_n_15_k_3_ID.txt,50,15,792,15.3934,0.0
500_n_10_k_3_ID.txt,500,10,122319,160.679,0.0
50_n_20_k_3_ID.txt,50,20,656,18.6632,0.0
100_n_40_k_3_ID.txt,100,40,3461,600.055,0.243571
200_n_15_k_3_ID.txt,200,15,18463,600.827,0.00243731
50_n_5_k_3_ID.txt,50,5,1062,0.900274,0.0
200_n_20_k_3_ID.txt,200,20,18215,600.464,0.0139995
200_n_25_k_3_ID.txt,200,25,17993,600.47,0.0518535
100_n_10_k_4_ID.txt,100,10,4367,72.9908,0.0
50_n_40_k_3_ID.txt,50,40,62,92.5888,0.0
200_n_30_k_3_ID.txt,200,30,17233,600.588,0.0743922
500_n_5_k_3_ID.txt,500,5,123204,162.508,0.0
